Serial,IQ,Bengali,English,Math,Physical_Science,Biology,History,Geography,Stream
123,99,82,98,97,88,85,94,71,Science
124,104,83,83,88,100,91,93,92,Science
125,101,72,97,86,91,100,95,77,Science
126,120,98,81,98,89,92,88,85,Science
127,103,75,80,86,94,89,74,96,Science
128,101,87,94,93,98,100,76,91,Science
129,103,88,84,99,88,96,90,74,Science
130,102,74,99,89,86,100,77,96,Science
131,106,84,90,88,88,95,97,94,Science
132,96,94,89,94,100,89,74,98,Science
133,95,71,81,97,96,88,86,72,Science
134,110,79,82,85,86,98,74,81,Science
135,117,93,91,91,92,90,73,82,Science
136,117,99,99,87,87,98,91,82,Science
137,118,87,84,90,93,90,88,79,Science
138,99,96,84,89,97,87,100,73,Science
139,97,82,85,89,88,100,96,78,Science
140,106,74,88,95,97,93,90,91,Science
141,102,92,81,89,90,96,71,93,Science
142,116,93,100,85,94,95,80,92,Science
143,97,70,91,85,89,98,91,96,Science
144,95,91,82,87,94,91,82,71,Science
145,97,70,99,98,97,100,84,88,Science
146,99,87,91,96,85,85,81,70,Science
147,109,84,96,94,93,99,91,94,Science
148,108,86,89,88,100,97,90,98,Science
149,97,80,93,89,85,91,91,76,Science
150,95,90,96,86,92,89,80,86,Science
151,99,95,97,92,93,89,76,72,Science
152,120,100,98,95,93,98,97,89,Science
153,117,94,96,95,85,97,74,89,Science
154,108,91,93,98,86,86,86,90,Science
155,101,96,88,86,96,88,93,99,Science
156,103,96,87,93,100,96,89,72,Science
157,109,86,81,86,97,90,78,72,Science
158,109,82,92,97,85,94,83,86,Science
159,120,70,86,93,94,99,95,76,Science
160,104,71,88,91,86,95,81,96,Science
161,107,78,90,99,94,91,75,95,Science
162,113,72,93,92,100,100,86,83,Science
163,101,100,83,99,96,95,88,86,Science
164,111,70,92,95,92,89,88,87,Science
165,114,90,81,86,89,93,95,82,Science
166,98,85,84,91,96,87,85,89,Science
167,99,92,90,96,95,85,81,98,Science
168,117,75,85,90,91,88,81,89,Science
169,101,97,97,88,86,93,89,90,Science
170,107,86,100,91,92,88,75,96,Science
171,109,74,89,100,95,86,100,87,Science
172,105,100,83,98,90,94,92,73,Science
173,98,74,88,97,92,98,95,70,Science
174,107,75,85,88,85,98,73,87,Science
175,101,72,81,100,99,89,75,70,Science
176,113,90,96,86,85,87,80,95,Science
177,116,92,84,94,96,97,70,95,Science
178,96,74,85,96,91,96,99,82,Science
179,104,90,91,91,92,97,93,89,Science
180,107,74,100,92,97,93,92,89,Science
181,119,79,89,86,87,88,84,92,Science
182,115,79,100,89,89,90,96,79,Science
183,100,88,85,85,100,86,80,96,Science
184,106,86,87,91,96,90,94,80,Science
185,106,90,81,92,85,87,88,78,Science
186,114,83,91,97,91,96,87,78,Science
187,105,78,92,100,89,96,86,74,Science
188,120,83,100,90,92,93,88,95,Science
189,117,70,86,89,97,95,90,70,Science
190,119,88,89,99,92,86,83,86,Science
191,101,82,92,90,93,99,96,91,Science
192,95,82,96,99,91,96,87,71,Science
193,95,73,100,86,95,96,97,93,Science
194,119,99,93,85,85,93,88,82,Science
195,119,70,81,91,97,89,84,78,Science
196,114,86,90,91,87,92,100,98,Science
197,107,77,80,94,92,86,84,73,Science
198,103,71,98,95,87,90,73,74,Science
199,97,97,100,94,92,87,76,80,Science
200,101,100,83,98,85,96,82,93,Science
201,100,77,98,86,89,96,72,88,Science
202,102,76,100,86,88,98,85,90,Science
203,103,95,90,85,89,94,100,72,Science
204,99,95,87,94,92,100,78,81,Science
205,95,71,90,92,94,89,77,95,Science
206,113,91,83,99,99,96,89,88,Science
207,104,91,96,92,98,92,82,88,Science
208,106,72,86,85,88,94,86,82,Science
209,118,96,87,96,95,98,86,97,Science
210,109,87,82,95,88,85,86,76,Science
211,116,81,81,92,99,89,70,84,Science
212,118,70,94,93,87,87,77,92,Science
213,103,91,84,98,91,88,88,76,Science
214,114,81,80,88,87,86,100,95,Science
215,111,74,83,85,96,93,75,77,Science
216,111,99,94,85,87,87,72,74,Science
217,120,99,99,87,95,99,96,90,Science
218,114,96,98,99,94,86,74,83,Science
219,106,94,82,100,89,94,82,73,Science
220,101,86,99,98,89,95,84,92,Science
221,96,85,90,89,98,93,83,79,Science
222,97,100,96,100,90,91,98,89,Science
223,111,84,92,89,100,100,100,84,Science
224,99,92,90,93,92,100,92,87,Science
225,111,84,81,94,100,90,85,89,Science
226,118,74,88,98,94,85,87,82,Science
227,111,90,81,96,90,89,91,98,Science
228,111,83,100,86,99,96,98,77,Science
229,96,71,88,86,100,95,91,78,Science
230,96,80,88,100,100,98,80,85,Science
231,116,88,87,90,96,99,72,88,Science
232,117,76,96,99,85,95,91,85,Science
233,99,75,80,93,99,87,79,76,Science
234,95,97,90,85,92,85,79,83,Science
235,95,71,87,93,100,88,99,97,Science
236,113,75,89,93,92,97,90,83,Science
237,96,87,86,100,93,100,85,94,Science
238,115,71,82,97,93,86,81,96,Science
239,106,87,82,93,86,86,71,73,Science
240,120,99,97,89,99,87,78,95,Science
241,100,84,84,97,86,92,93,84,Science
242,117,96,91,99,87,92,72,72,Science
243,98,88,91,93,85,96,93,74,Science
244,117,100,98,95,88,99,99,70,Science
245,105,71,85,88,98,91,94,72,Science
246,118,89,81,86,88,90,99,84,Science
247,111,94,91,97,98,93,84,93,Science
248,100,75,98,90,93,88,72,96,Science
249,118,70,84,98,93,96,88,77,Science
250,99,93,91,88,93,85,87,100,Science
251,114,84,96,90,94,92,77,98,Science
252,96,97,96,87,91,91,95,73,Science
253,100,99,89,90,98,91,86,71,Science
254,116,92,96,86,99,100,77,98,Science
255,105,79,94,86,86,99,76,93,Science
256,110,88,91,97,94,87,99,93,Science
257,110,86,95,93,89,88,76,79,Science
258,95,74,98,91,88,94,72,73,Science
259,103,98,87,87,96,93,70,72,Science
260,100,73,100,97,95,99,73,71,Science
261,110,79,96,95,92,90,94,94,Science
262,97,93,84,85,86,99,74,86,Science
263,114,86,95,92,90,99,70,92,Science
264,98,79,85,98,97,89,84,90,Science
265,113,86,87,90,89,87,74,93,Science
266,120,97,97,91,100,93,82,89,Science
267,97,89,91,93,99,89,77,92,Science
268,113,93,94,89,100,89,77,82,Science
269,114,74,88,99,100,98,74,74,Science
270,101,71,92,85,100,88,97,100,Science
271,114,75,94,96,96,98,78,99,Science
272,103,90,89,94,86,88,100,90,Science
273,95,71,95,91,95,96,70,99,Science
274,102,82,86,99,94,85,73,78,Science
275,101,99,96,89,99,91,72,94,Science
276,112,80,100,87,85,93,71,98,Science
277,102,80,86,96,92,87,100,94,Science
278,95,85,93,97,86,96,77,97,Science
279,105,80,94,93,91,97,92,91,Science
280,119,88,100,85,93,99,78,75,Science
281,119,84,86,85,93,86,71,74,Science
282,112,94,88,100,92,87,83,94,Science
283,117,92,98,85,95,85,83,79,Science
284,104,92,95,87,98,90,73,77,Science
285,97,85,87,96,96,95,99,76,Science
286,101,100,97,90,94,95,100,76,Science
287,110,80,97,94,93,91,75,75,Science
288,120,91,99,95,86,95,80,90,Science
289,110,85,86,87,90,95,72,98,Science
290,119,77,82,92,88,86,77,89,Science
291,114,73,97,98,98,92,72,72,Science
292,111,77,89,98,88,98,83,88,Science
293,96,73,86,94,89,90,97,91,Science
294,95,93,96,86,96,98,82,84,Science
295,110,94,93,98,100,88,82,73,Science
296,106,72,82,93,87,89,71,97,Science
297,99,72,91,87,98,92,82,81,Science
298,99,96,92,89,85,98,98,75,Science
299,117,98,81,94,92,87,88,88,Science
300,103,87,82,92,89,87,96,100,Science
301,103,98,84,100,87,98,75,73,Science
302,97,95,90,86,94,99,85,84,Science
303,113,88,87,90,100,98,71,78,Science
304,110,88,91,96,98,95,77,74,Science
305,110,90,86,89,91,88,86,82,Science
306,97,74,94,97,91,85,92,92,Science
307,114,87,96,94,85,93,71,95,Science
308,118,97,83,93,96,92,79,87,Science
309,116,79,92,96,93,92,97,99,Science
310,118,98,97,89,99,98,85,99,Science
311,95,91,80,86,86,94,75,74,Science
312,118,90,95,100,89,90,97,94,Science
313,114,75,92,89,97,91,71,85,Science
314,105,70,89,99,98,90,71,96,Science
315,111,74,91,96,89,100,95,88,Science
316,102,78,81,88,98,93,82,83,Science
317,98,81,82,99,92,87,93,94,Science
318,100,95,89,95,98,98,84,99,Science
319,102,83,81,100,92,87,100,85,Science
320,114,71,92,91,98,87,97,96,Science
321,97,86,92,90,91,94,71,84,Science
322,110,83,97,98,91,87,76,91,Science
323,119,95,82,86,96,93,72,73,Science
324,97,82,86,96,100,96,77,76,Science
325,119,96,93,95,95,88,92,85,Science
326,112,78,99,95,100,97,83,93,Science
327,108,95,96,97,90,91,93,91,Science
328,112,94,100,89,90,98,99,90,Science
329,96,84,91,91,95,99,92,91,Science
330,116,94,95,95,93,93,96,90,Science
331,97,91,91,91,90,95,91,77,Science
332,110,84,94,100,96,96,98,86,Science
333,103,93,89,99,97,91,76,85,Science
334,98,99,86,89,97,93,90,96,Science
335,95,80,99,96,86,96,76,92,Science
336,98,100,84,99,86,87,70,100,Science
337,95,85,80,93,97,99,86,79,Science
338,108,98,96,88,89,88,78,79,Science
339,115,86,82,95,99,98,99,96,Science
340,110,95,92,87,88,92,90,71,Science
341,114,73,93,99,95,90,82,100,Science
342,118,70,97,88,86,89,90,99,Science
343,102,77,83,89,99,97,88,78,Science
344,101,86,97,97,99,88,90,86,Science
345,97,72,84,90,87,92,88,80,Science
346,111,98,95,87,91,85,94,79,Science
347,95,89,80,86,92,98,94,91,Science
348,110,84,100,98,96,93,91,94,Science
349,106,84,93,97,97,100,100,86,Science
350,113,100,94,88,90,85,86,73,Science
351,116,93,88,100,95,92,92,85,Science
352,117,91,94,89,89,88,92,89,Science
353,116,83,96,88,97,93,99,84,Science
354,108,95,83,98,85,98,79,94,Science
355,100,97,91,95,92,95,79,96,Science
356,100,92,84,97,87,89,73,90,Science
357,107,83,84,99,99,87,77,74,Science
358,113,93,90,96,90,93,91,75,Science
359,116,71,85,87,87,95,89,86,Science
360,102,82,86,92,91,98,89,70,Science
361,96,95,93,100,97,98,87,100,Science
362,115,83,90,94,98,93,83,94,Science
363,95,96,92,88,91,88,87,88,Science
364,109,93,81,98,96,95,97,73,Science
365,95,88,86,86,99,88,83,86,Science
366,99,76,99,86,93,96,89,78,Science
367,110,72,83,85,100,92,90,100,Science
368,113,84,87,97,89,86,93,93,Science
369,98,92,99,88,99,93,84,71,Science
370,97,83,100,94,92,97,91,77,Science
371,111,80,98,93,94,98,99,84,Science
372,111,84,92,98,94,90,100,76,Science
373,106,97,93,95,100,93,73,96,Science
374,108,82,89,91,92,92,82,75,Science
375,115,87,90,99,85,99,96,70,Science
376,100,95,81,96,96,99,92,84,Science
377,97,75,88,94,89,91,77,92,Science
378,103,72,96,91,87,100,87,95,Science
379,99,88,82,97,85,97,81,76,Science
380,118,84,85,99,88,98,92,98,Science
381,111,94,84,91,92,85,100,99,Science
382,108,92,84,99,87,100,83,94,Science
383,115,74,94,92,100,98,71,86,Science
384,97,97,96,85,100,96,87,71,Science
385,95,79,88,94,94,87,93,96,Science
386,114,76,82,97,86,95,71,78,Science
387,115,94,99,94,95,100,100,98,Science
388,117,86,96,92,93,98,80,78,Science
389,95,76,89,88,94,86,78,82,Science
390,97,91,82,88,89,89,81,75,Science
391,112,95,97,88,100,99,86,75,Science
392,119,99,97,90,98,89,84,89,Science
393,104,81,96,91,91,89,94,89,Science
394,116,94,82,90,95,100,100,90,Science
395,120,86,82,85,95,88,86,72,Science
396,97,82,85,96,86,89,95,86,Science
397,102,89,92,92,93,87,98,100,Science
398,108,94,94,97,100,96,95,86,Science
399,118,73,88,94,97,85,87,81,Science
400,112,79,83,99,93,89,91,85,Science
401,109,72,93,95,88,97,75,84,Science
402,116,78,84,97,88,93,86,82,Science
403,117,82,81,91,90,97,92,92,Science
404,96,87,90,90,94,93,93,70,Science
405,104,84,88,90,94,88,87,86,Science
406,96,73,82,89,94,87,77,72,Science
407,120,84,88,90,90,85,78,95,Science
408,111,91,82,96,96,86,75,84,Science
409,102,71,81,93,85,92,74,73,Science
410,95,84,91,94,98,100,81,73,Science
411,103,77,89,93,98,85,94,87,Science
412,105,77,88,99,93,92,98,86,Science
413,116,86,94,94,86,97,97,88,Science
414,110,81,87,92,89,91,80,80,Science
415,101,88,84,94,93,99,94,89,Science
416,104,79,90,93,88,92,70,72,Science
417,117,78,81,97,95,96,80,77,Science
418,120,74,94,94,100,90,88,83,Science
419,97,75,85,92,87,96,78,95,Science
420,112,89,87,92,99,98,96,70,Science
421,119,95,84,100,91,99,71,83,Science
422,118,71,95,85,90,99,81,71,Science
423,107,96,97,94,92,93,73,98,Science
424,120,93,85,95,87,87,73,92,Science
425,101,96,84,89,89,94,87,73,Science
426,119,82,95,88,94,88,84,93,Science
427,98,75,92,86,88,97,88,96,Science
428,107,74,84,92,99,90,82,98,Science
429,114,94,92,87,97,92,88,88,Science
430,95,70,96,88,88,89,86,75,Science
431,102,90,97,96,88,87,75,94,Science
432,108,91,87,91,94,90,85,70,Science
433,110,90,92,94,92,88,93,86,Science
434,108,75,98,93,90,93,81,77,Science
435,106,75,82,86,87,97,88,88,Science
436,113,92,87,87,94,87,74,90,Science
437,117,85,81,88,89,88,86,70,Science
438,109,73,87,94,90,91,95,74,Science
439,96,99,92,85,89,91,92,96,Science
440,96,80,92,91,90,96,95,85,Science
441,117,99,80,86,92,96,98,75,Science
442,116,99,85,89,91,88,70,77,Science
443,113,99,98,99,89,90,97,82,Science
444,119,100,95,85,94,96,96,85,Science
445,120,93,87,87,90,97,94,99,Science
446,116,92,80,96,98,87,93,72,Science
447,120,78,95,86,88,90,92,88,Science
448,120,92,88,85,96,96,79,81,Science
449,116,72,92,91,93,86,84,85,Science
450,111,88,90,89,97,92,92,96,Science
451,114,100,92,85,88,86,90,80,Science
452,104,77,100,90,85,95,90,79,Science
453,100,74,89,100,91,91,80,94,Science
454,109,73,83,89,91,93,82,89,Science
455,116,93,85,99,88,85,74,100,Science
456,105,100,86,87,97,92,70,73,Science
457,99,75,84,96,98,91,93,81,Science
458,95,71,90,91,87,90,81,92,Science
459,102,89,92,100,92,90,80,71,Science
460,115,97,98,95,89,90,86,93,Science
461,106,80,89,94,100,93,73,91,Science
462,106,73,89,93,94,86,84,88,Science
463,99,84,90,98,91,85,94,94,Science
464,101,75,100,97,88,97,99,74,Science
465,98,91,86,97,88,96,78,77,Science
466,100,86,97,93,92,90,90,76,Science
467,107,99,83,98,98,94,89,83,Science
468,114,93,81,93,92,95,88,93,Science
469,109,75,93,86,86,92,88,92,Science
470,97,88,92,100,98,87,81,72,Science
471,117,99,91,87,86,96,74,87,Science
472,102,94,86,91,87,94,79,85,Science
473,114,71,81,89,99,85,86,92,Science
474,110,84,92,86,96,93,74,88,Science
475,107,80,93,87,96,97,91,88,Science
476,112,77,96,94,87,97,85,87,Science
477,104,95,88,90,85,85,76,89,Science
478,113,88,96,97,99,87,97,85,Science
479,111,82,87,91,98,92,78,77,Science
480,118,81,81,93,87,98,72,97,Science
481,113,74,92,85,90,87,84,70,Science
482,120,75,82,95,92,100,85,86,Science
483,117,95,95,91,97,97,87,81,Science
484,120,91,85,92,96,88,83,99,Science
485,99,73,98,96,98,92,72,90,Science
486,120,88,86,98,94,85,81,80,Science
487,115,89,89,87,90,97,78,74,Science
488,117,70,88,88,89,97,97,96,Science
489,103,89,81,94,99,90,76,81,Science
490,106,86,94,90,88,85,78,86,Science
491,115,81,84,94,100,98,82,75,Science
492,95,84,83,100,87,85,87,70,Science
493,120,70,99,91,100,98,74,74,Science
494,120,95,83,97,97,92,82,94,Science
495,95,83,97,98,88,95,73,97,Science
496,109,75,83,88,98,88,100,83,Science
497,96,74,96,92,91,96,71,74,Science
498,116,99,91,89,85,85,85,91,Science
499,110,80,96,85,91,94,78,93,Science
500,119,100,89,88,85,91,78,96,Science
501,102,73,80,87,86,89,75,70,Science
502,107,82,97,93,99,89,80,99,Science
503,115,80,97,92,88,85,91,87,Science
504,95,72,93,85,85,100,93,85,Science
505,110,70,94,95,95,98,91,78,Science
506,101,75,91,90,96,94,70,88,Science
507,99,87,83,93,95,95,73,91,Science
508,116,93,82,91,99,90,82,74,Science
509,117,79,99,88,95,98,92,96,Science
510,97,74,91,97,93,93,82,71,Science
511,106,92,86,85,96,93,82,99,Science
512,120,79,90,96,90,92,71,84,Science
513,110,81,80,86,97,89,78,76,Science
514,113,71,85,96,85,85,93,73,Science
515,99,82,94,89,85,93,77,70,Science
516,116,77,94,96,90,85,76,82,Science
517,119,71,98,95,88,92,73,89,Science
518,108,89,90,100,88,89,87,91,Science
519,99,70,81,89,100,87,72,76,Science
520,109,100,93,92,99,95,97,84,Science
521,111,74,81,90,95,91,75,92,Science
522,108,78,83,92,99,91,81,83,Science
523,114,86,96,86,90,93,81,92,Science
524,99,78,82,87,99,91,90,88,Science
525,106,80,92,90,98,97,97,91,Science
526,110,84,88,96,96,100,77,98,Science
527,120,93,86,97,95,95,91,93,Science
528,120,75,94,94,91,98,91,89,Science
529,110,92,90,87,93,87,70,98,Science
530,115,72,99,90,94,95,73,93,Science
531,101,99,81,90,100,97,90,87,Science
532,98,100,94,86,89,99,97,100,Science
533,95,86,93,91,93,98,80,79,Science
534,99,74,99,96,88,97,72,78,Science
535,117,99,90,86,97,85,82,94,Science
536,120,97,82,90,94,92,94,77,Science
537,104,81,96,85,86,96,86,95,Science
538,116,87,91,87,87,87,91,99,Science
539,99,83,100,86,97,96,91,98,Science
540,98,90,94,91,95,92,79,79,Science
541,96,93,95,98,85,92,90,86,Science
542,114,80,84,88,98,97,81,71,Science
543,104,78,99,92,98,89,84,75,Science
544,120,71,85,90,90,97,90,95,Science
545,113,81,98,96,97,96,79,74,Science
546,120,72,84,94,90,97,83,97,Science
547,95,72,82,88,85,100,82,99,Science
548,118,70,80,89,95,85,74,78,Science
549,99,77,85,97,97,97,75,74,Science
550,107,91,94,97,87,94,93,87,Science
551,98,97,81,99,89,91,71,95,Science
552,110,98,82,99,87,96,91,89,Science
553,118,77,96,93,94,94,86,78,Science
554,110,80,91,91,87,89,73,86,Science
555,117,78,97,100,98,92,83,96,Science
556,96,74,94,94,94,93,79,86,Science
557,111,83,91,98,87,95,72,81,Science
558,114,97,95,98,89,98,94,76,Science
559,118,99,87,93,97,91,72,96,Science
560,106,72,93,91,100,98,84,72,Science
561,112,90,96,100,89,97,75,79,Science
562,97,74,100,96,88,99,86,71,Science
563,95,74,87,85,85,91,81,94,Science
564,95,88,94,100,89,85,91,72,Science
565,113,96,93,96,94,99,89,85,Science
566,105,83,97,92,100,88,93,71,Science
567,99,95,99,88,89,86,98,97,Science
568,106,99,86,87,88,86,80,93,Science
569,97,73,82,100,90,86,94,79,Science
570,95,94,91,98,94,88,73,75,Science
571,95,82,100,97,88,98,95,91,Science
572,102,79,82,91,98,85,97,95,Science
573,104,94,99,96,91,99,95,80,Science
574,105,87,93,87,91,88,75,92,Science
575,106,77,94,92,86,86,70,76,Science
576,107,77,93,90,87,89,89,96,Science
577,106,76,86,89,85,87,92,98,Science
578,108,77,96,88,92,99,97,84,Science
579,96,83,91,92,93,96,85,75,Science
580,113,88,99,92,88,92,84,89,Science
581,112,98,83,96,90,88,86,96,Science
582,97,75,88,85,93,85,77,78,Science
583,117,70,85,93,90,85,97,91,Science
584,111,92,95,98,98,96,95,89,Science
585,120,100,100,89,96,94,81,81,Science
586,102,84,100,88,96,87,96,88,Science
587,120,70,81,90,96,99,91,89,Science
588,104,94,87,90,93,93,90,72,Science
589,120,86,90,86,99,91,79,84,Science
590,96,70,92,92,88,86,96,71,Science
591,113,84,96,91,92,99,84,99,Science
592,103,92,87,100,93,97,99,90,Science
593,101,71,100,85,88,93,78,71,Science
594,98,83,97,89,89,94,71,91,Science
595,120,90,97,100,98,86,74,72,Science
596,115,77,93,96,92,87,75,75,Science
597,112,77,94,90,96,95,76,84,Science
598,107,88,85,88,94,97,90,96,Science
599,105,76,90,86,98,94,94,79,Science
600,118,88,92,97,90,98,70,78,Science
601,98,75,80,98,96,86,92,70,Science
602,119,75,85,88,91,87,95,85,Science
603,115,72,88,85,87,90,76,75,Science
604,119,76,87,91,91,93,89,78,Science
605,98,88,90,86,96,93,94,96,Science
606,104,77,98,97,98,91,99,73,Science
607,99,79,88,86,92,96,81,96,Science
608,103,89,96,93,94,87,85,97,Science
609,118,84,91,89,100,88,85,71,Science
610,97,84,93,86,100,90,80,98,Science
611,111,98,94,95,90,95,90,73,Science
612,97,70,95,93,99,89,73,70,Science
613,110,89,99,93,94,86,82,88,Science
614,98,99,80,85,93,97,76,95,Science
615,112,76,89,95,97,90,73,94,Science
616,111,96,87,87,90,87,84,79,Science
617,101,73,97,88,96,100,88,90,Science
618,118,98,80,98,93,98,78,84,Science
619,117,75,81,91,97,92,80,96,Science
620,99,94,80,94,88,86,77,91,Science
621,106,70,80,88,92,85,70,88,Science
622,111,98,88,86,95,93,92,85,Science
623,117,74,92,91,88,98,94,90,Science
624,107,96,80,90,86,96,93,96,Science
625,117,92,92,87,94,87,77,93,Science
626,119,70,99,90,95,95,82,91,Science
627,97,99,86,95,93,85,91,73,Science
628,103,73,81,99,89,91,96,71,Science
629,111,91,85,90,88,97,73,99,Science
630,111,71,86,96,86,99,77,94,Science
631,114,79,93,89,85,94,72,82,Science
632,110,74,97,88,95,89,98,97,Science
633,119,96,94,94,91,89,78,70,Science
634,116,79,81,96,90,98,98,86,Science
635,107,70,89,99,99,85,71,82,Science
636,113,91,91,85,99,99,71,73,Science
637,111,75,96,94,86,99,97,76,Science
638,98,82,87,90,100,93,82,86,Science
639,106,100,90,86,92,91,84,78,Science
640,103,84,82,97,95,92,97,73,Science
641,113,73,85,87,88,93,92,88,Science
642,106,82,88,98,92,90,81,70,Science
643,103,93,85,92,99,96,95,79,Science
644,101,89,88,94,100,89,73,73,Science
645,108,93,86,98,91,90,95,78,Science
646,114,84,88,98,89,95,77,82,Science
647,113,98,97,90,94,86,78,83,Science
648,120,77,91,87,94,88,92,79,Science
649,109,74,87,100,96,87,74,75,Science
650,110,98,87,91,92,97,93,85,Science
651,115,84,97,88,100,91,89,75,Science
652,99,73,99,98,98,93,87,86,Science
653,97,81,94,93,93,89,80,79,Science
654,106,82,86,99,89,90,84,87,Science
655,119,71,90,89,94,94,97,96,Science
656,114,96,99,87,89,98,91,91,Science
657,115,100,95,86,86,96,78,87,Science
658,98,88,83,95,89,96,86,72,Science
659,115,88,85,86,87,86,96,89,Science
660,117,73,82,87,91,100,95,96,Science
661,110,73,88,86,94,87,81,90,Science
662,119,95,89,98,89,87,76,100,Science
663,101,80,93,88,92,96,79,94,Science
