Serial,IQ,English,Math,Physics,Chemistry,Biology,CS,STREAM
205,88,67,75,80,72,78,0,BPharm
206,95,68,72,78,77,64,0,BPharm
207,94,69,67,76,76,0,85,BPharm
208,86,68,77,73,71,0,80,BPharm
209,86,75,77,77,71,0,80,BPharm
210,94,67,72,80,73,68,0,BPharm
211,89,67,71,78,76,0,85,BPharm
212,91,73,62,71,78,76,0,BPharm
213,92,65,65,80,72,0,81,BPharm
214,83,71,60,71,76,67,0,BPharm
215,93,69,80,72,70,0,82,BPharm
216,91,66,77,79,74,0,83,BPharm
217,93,67,64,72,78,0,84,BPharm
218,91,72,70,75,77,73,0,BPharm
219,86,67,79,73,73,0,82,BPharm
220,92,70,77,70,77,74,0,BPharm
221,85,66,67,76,79,0,81,BPharm
222,88,69,72,76,74,0,83,BPharm
223,84,72,61,78,74,0,85,BPharm
224,84,74,68,80,75,0,84,BPharm
225,92,70,79,74,78,79,0,BPharm
226,86,67,61,76,74,68,0,BPharm
227,95,65,65,78,73,0,81,BPharm
228,83,65,80,76,77,0,84,BPharm
229,87,68,75,79,75,75,0,BPharm
230,91,75,66,75,75,69,0,BPharm
231,82,68,76,74,77,0,85,BPharm
232,81,68,80,77,72,0,81,BPharm
233,86,65,76,75,79,0,79,BPharm
234,90,70,60,72,77,66,0,BPharm
235,84,65,64,74,79,72,0,BPharm
236,83,72,79,80,70,0,80,BPharm
237,92,66,63,79,71,75,0,BPharm
238,87,65,64,79,74,79,0,BPharm
239,95,71,62,77,77,0,82,BPharm
240,88,66,63,80,78,0,81,BPharm
241,88,70,70,76,71,0,85,BPharm
242,94,65,78,77,73,69,0,BPharm
243,90,65,78,75,71,0,83,BPharm
244,88,65,80,77,75,0,81,BPharm
245,87,71,75,76,77,0,84,BPharm
246,88,66,62,70,78,65,0,BPharm
247,88,65,76,71,79,62,0,BPharm
248,86,65,75,79,75,0,81,BPharm
249,83,68,69,76,73,67,0,BPharm
250,94,68,68,72,75,0,80,BPharm
251,93,65,77,72,72,76,0,BPharm
252,87,65,74,72,71,0,80,BPharm
253,92,71,60,78,79,68,0,BPharm
254,93,68,67,80,79,0,82,BPharm
255,87,71,60,70,73,0,82,BPharm
256,83,68,64,78,79,67,0,BPharm
257,86,71,67,75,74,69,0,BPharm
258,93,74,77,78,73,67,0,BPharm
259,82,72,66,70,74,0,82,BPharm
260,93,67,69,79,79,62,0,BPharm
261,83,74,62,74,71,0,80,BPharm
262,83,70,63,70,76,0,84,BPharm
263,84,74,60,70,72,0,80,BPharm
264,86,74,80,73,72,68,0,BPharm
265,90,65,64,80,72,0,85,BPharm
266,85,69,67,71,79,75,0,BPharm
267,87,67,62,76,77,73,0,BPharm
268,91,75,72,73,70,0,80,BPharm
269,82,68,76,76,78,0,79,BPharm
270,92,67,64,72,70,77,0,BPharm
271,80,65,71,79,71,0,81,BPharm
272,90,72,60,72,78,0,82,BPharm
273,92,70,65,71,70,76,0,BPharm
274,89,74,65,70,74,0,82,BPharm
275,85,69,60,79,72,73,0,BPharm
276,94,73,63,74,73,0,80,BPharm
277,89,65,76,77,74,76,0,BPharm
278,93,73,68,70,70,62,0,BPharm
279,85,69,64,79,76,0,84,BPharm
280,89,66,70,74,71,66,0,BPharm
281,86,61,55,62,62,69,0,Dpharm
282,80,60,54,64,62,0,59,Dpharm
283,87,60,60,62,65,0,62,Dpharm
284,86,65,60,63,61,68,0,Dpharm
285,88,65,54,60,61,0,61,Dpharm
286,90,63,52,63,64,0,59,Dpharm
287,89,61,54,63,65,0,62,Dpharm
288,89,62,50,60,60,61,0,Dpharm
289,85,69,55,60,64,64,0,Dpharm
290,86,66,59,64,65,0,61,Dpharm
291,88,62,54,64,63,60,0,Dpharm
292,82,63,54,63,62,67,0,Dpharm
293,90,68,51,63,65,63,0,Dpharm
294,87,61,54,63,60,0,62,Dpharm
295,86,60,55,62,62,63,0,Dpharm
296,90,62,53,65,64,60,0,Dpharm
297,85,61,59,65,65,0,65,Dpharm
298,87,68,55,62,61,0,60,Dpharm
299,82,66,51,64,64,0,64,Dpharm
300,90,60,54,64,63,64,0,Dpharm
301,82,60,58,64,60,0,65,Dpharm
302,87,63,59,65,61,61,0,Dpharm
303,83,67,59,62,61,0,62,Dpharm
304,86,67,52,64,65,65,0,Dpharm
305,81,68,59,65,61,0,62,Dpharm
306,81,68,51,62,61,64,0,Dpharm
307,89,66,55,60,60,63,0,Dpharm
308,87,67,53,63,65,68,0,Dpharm
309,81,67,53,60,63,0,58,Dpharm
310,87,64,59,64,65,66,0,Dpharm
311,88,62,59,64,63,0,58,Dpharm
312,87,65,55,63,63,0,62,Dpharm
313,83,69,58,65,64,0,63,Dpharm
314,85,69,57,65,65,0,60,Dpharm
315,82,69,56,62,63,0,65,Dpharm
316,90,67,52,60,62,0,59,Dpharm
317,81,62,58,65,65,62,0,Dpharm
318,80,66,60,65,61,63,0,Dpharm
319,90,61,51,64,62,68,0,Dpharm
320,87,65,60,64,63,0,61,Dpharm
321,87,65,50,65,65,0,61,Dpharm
322,82,68,55,60,60,68,0,Dpharm
323,87,68,58,62,62,0,62,Dpharm
324,84,63,60,61,65,0,58,Dpharm
325,86,61,51,63,61,0,60,Dpharm
326,81,66,54,61,63,0,61,Dpharm
327,88,64,57,63,61,0,58,Dpharm
328,89,65,56,62,62,0,63,Dpharm
329,81,62,52,63,61,0,63,Dpharm
330,86,69,52,65,61,0,65,Dpharm
331,88,62,52,62,65,0,63,Dpharm
332,80,60,50,60,63,63,0,Dpharm
333,89,65,59,63,62,66,0,Dpharm
334,80,61,57,63,63,0,65,Dpharm
335,88,65,54,62,65,0,61,Dpharm
336,81,60,56,61,60,61,0,Dpharm
337,88,68,58,60,63,62,0,Dpharm
338,86,69,50,65,63,0,64,Dpharm
339,81,69,56,65,65,67,0,Dpharm
340,86,61,59,62,65,0,61,Dpharm
341,89,66,50,61,61,63,0,Dpharm
342,83,63,57,63,63,0,59,Dpharm
343,81,63,51,64,60,0,60,Dpharm
344,89,64,51,60,65,0,62,Dpharm
345,87,67,59,62,61,0,64,Dpharm
346,90,60,56,64,60,0,64,Dpharm
347,80,69,52,63,60,0,65,Dpharm
348,84,64,58,63,65,0,61,Dpharm
349,82,67,59,60,60,0,58,Dpharm
350,85,62,57,61,64,60,0,Dpharm
351,89,66,51,62,62,0,62,Dpharm
352,81,65,54,65,64,0,62,Dpharm
353,90,64,50,60,61,67,0,Dpharm
354,86,63,50,60,64,0,58,Dpharm
355,90,66,58,63,61,0,62,Dpharm
356,80,62,53,62,60,0,59,Dpharm
357,81,70,55,63,64,65,0,Dpharm
358,85,67,51,60,65,63,0,Dpharm
359,84,62,55,63,63,67,0,Dpharm
360,87,64,54,62,65,62,0,Dpharm
361,90,70,50,65,64,0,65,Dpharm
362,88,66,55,65,61,69,0,Dpharm
363,82,62,53,64,65,0,63,Dpharm
364,86,62,58,63,60,64,0,Dpharm
365,85,69,52,62,65,65,0,Dpharm
366,82,66,56,60,65,61,0,Dpharm
367,86,63,53,65,62,0,60,Dpharm
368,87,66,50,64,60,60,0,Dpharm
369,82,62,53,65,64,61,0,Dpharm
370,86,63,50,62,62,65,0,Dpharm
371,80,60,57,64,65,0,62,Dpharm
372,83,62,52,64,64,65,0,Dpharm
373,80,60,59,63,62,0,64,Dpharm
374,83,68,52,61,61,65,0,Dpharm
375,80,63,54,60,64,0,59,Dpharm
376,89,70,57,63,63,0,63,Dpharm
377,90,68,59,63,61,65,0,Dpharm
378,84,70,58,63,61,62,0,Dpharm
379,80,60,51,61,60,65,0,Dpharm
380,86,67,55,63,60,0,61,Dpharm
381,90,63,59,61,64,0,58,Dpharm
382,85,60,58,60,65,0,63,Dpharm
383,88,62,50,65,61,67,0,Dpharm
384,84,65,51,64,61,66,0,Dpharm
385,89,69,60,60,61,0,64,Dpharm
386,82,70,52,62,62,0,62,Dpharm
387,85,64,50,65,60,0,60,Dpharm
388,81,61,54,62,64,0,64,Dpharm
389,82,64,59,61,63,67,0,Dpharm
390,90,68,56,61,65,60,0,Dpharm
391,86,65,55,60,64,63,0,Dpharm
392,84,60,58,63,62,0,60,Dpharm
393,90,67,51,65,62,64,0,Dpharm
394,84,68,55,62,60,0,61,Dpharm
395,89,66,54,64,62,0,63,Dpharm
396,82,66,59,65,60,68,0,Dpharm
397,80,63,59,64,60,60,0,Dpharm
398,87,68,60,61,64,0,58,Dpharm
399,86,62,50,61,62,62,0,Dpharm
400,83,61,58,63,63,0,63,Dpharm
401,80,64,57,61,63,0,64,Dpharm
402,88,60,52,61,60,62,0,Dpharm
403,89,67,56,61,61,0,59,Dpharm
404,90,65,55,63,62,65,0,Dpharm
405,86,67,54,65,63,69,0,Dpharm
406,90,69,51,64,65,0,65,Dpharm
407,82,64,59,63,62,69,0,Dpharm
408,80,61,55,60,64,65,0,Dpharm
409,86,62,58,65,63,0,63,Dpharm
410,90,64,54,62,65,64,0,Dpharm
411,82,60,54,64,61,0,61,Dpharm
412,83,67,55,65,65,64,0,Dpharm
413,90,69,51,65,60,0,65,Dpharm
414,86,61,56,65,62,61,0,Dpharm
415,83,69,58,60,64,0,59,Dpharm
416,84,60,60,61,63,0,60,Dpharm
417,88,60,50,64,60,69,0,Dpharm
418,80,62,54,64,60,0,60,Dpharm
419,83,64,57,65,62,0,63,Dpharm
420,82,63,58,61,60,66,0,Dpharm
421,81,62,59,62,60,0,60,Dpharm
422,82,62,53,61,63,67,0,Dpharm
423,88,64,51,65,61,68,0,Dpharm
424,84,62,60,65,63,60,0,Dpharm
425,88,60,52,63,64,0,62,Dpharm
426,82,68,55,62,64,0,63,Dpharm
427,80,67,54,62,64,0,63,Dpharm
428,84,64,50,64,64,68,0,Dpharm
429,85,65,51,60,61,0,63,Dpharm
430,80,62,52,65,64,0,58,Dpharm
431,86,64,50,65,62,65,0,Dpharm
432,83,62,57,63,60,0,64,Dpharm
433,86,68,56,61,65,65,0,Dpharm
434,88,60,52,65,61,0,63,Dpharm
435,89,65,54,60,60,0,58,Dpharm
436,80,61,55,63,61,0,61,Dpharm
437,83,69,50,61,64,0,64,Dpharm
438,90,61,59,62,61,0,65,Dpharm
439,82,60,56,61,63,61,0,Dpharm
440,81,65,57,65,65,0,61,Dpharm
441,83,64,54,65,64,61,0,Dpharm
442,80,60,51,63,61,69,0,Dpharm
443,85,66,60,64,62,69,0,Dpharm
444,85,60,57,64,65,0,61,Dpharm
445,87,63,60,61,61,60,0,Dpharm
446,85,70,55,65,62,63,0,Dpharm
447,80,62,51,65,65,66,0,Dpharm
448,88,65,54,60,62,60,0,Dpharm
449,83,63,57,60,63,61,0,Dpharm
450,84,61,59,62,60,65,0,Dpharm
451,80,63,56,61,65,69,0,Dpharm
452,82,70,50,61,62,62,0,Dpharm
453,87,66,55,61,65,0,59,Dpharm
454,88,64,52,64,60,61,0,Dpharm
455,83,63,50,60,61,67,0,Dpharm
456,85,69,54,65,61,0,59,Dpharm
457,86,64,51,63,62,0,59,Dpharm
458,85,69,50,63,62,67,0,Dpharm
459,83,69,60,60,60,65,0,Dpharm
460,88,69,50,60,64,66,0,Dpharm
461,83,63,56,64,65,0,60,Dpharm
462,83,64,57,62,62,61,0,Dpharm
463,89,70,60,62,64,65,0,Dpharm
464,88,70,58,63,64,65,0,Dpharm
465,89,67,54,62,62,0,62,Dpharm
466,83,65,60,60,61,62,0,Dpharm
467,82,63,60,64,60,65,0,Dpharm
468,80,62,59,65,63,60,0,Dpharm
469,84,62,55,60,60,0,61,Dpharm
470,84,62,57,64,61,62,0,Dpharm
471,83,69,60,64,62,0,65,Dpharm
472,86,64,54,62,63,67,0,Dpharm
473,84,65,51,61,61,0,59,Dpharm
474,82,63,60,62,64,0,61,Dpharm
475,90,64,52,63,64,66,0,Dpharm
476,88,69,54,60,60,0,59,Dpharm
477,86,63,53,61,60,0,64,Dpharm
478,84,64,55,60,62,0,62,Dpharm
479,81,68,58,60,64,67,0,Dpharm
480,89,64,52,63,64,0,60,Dpharm
481,87,67,59,65,61,61,0,Dpharm
482,86,68,53,63,62,0,63,Dpharm
483,89,66,54,64,62,61,0,Dpharm
484,81,70,58,65,64,67,0,Dpharm
485,83,68,50,64,65,61,0,Dpharm
486,81,64,56,61,65,60,0,Dpharm
487,81,60,50,61,64,0,61,Dpharm
488,80,66,56,62,65,68,0,Dpharm
489,80,61,59,61,61,61,0,Dpharm
490,87,61,54,65,60,69,0,Dpharm
491,88,69,50,61,65,0,60,Dpharm
492,86,63,57,65,63,66,0,Dpharm
493,80,69,55,62,61,0,62,Dpharm
494,83,62,58,64,63,0,65,Dpharm
495,80,64,57,62,62,0,62,Dpharm
496,88,69,60,63,62,61,0,Dpharm
497,89,60,52,61,60,68,0,Dpharm
498,82,60,53,62,61,0,58,Dpharm
499,89,66,50,65,63,60,0,Dpharm
500,86,60,56,64,62,0,60,Dpharm
501,83,64,53,60,65,66,0,Dpharm
502,88,66,55,65,60,69,0,Dpharm
503,82,62,59,65,64,0,59,Dpharm
504,82,60,59,61,60,0,59,Dpharm
505,80,60,52,62,64,0,59,Dpharm
506,84,60,51,62,61,62,0,Dpharm
507,86,69,52,62,60,0,60,Dpharm
508,90,63,57,64,61,0,63,Dpharm
509,80,69,55,65,65,65,0,Dpharm
510,89,62,60,60,62,60,0,Dpharm
511,83,60,53,64,60,0,64,Dpharm
512,87,66,57,61,62,68,0,Dpharm
513,86,68,54,62,60,0,63,Dpharm
514,83,64,51,65,60,65,0,Dpharm
515,87,68,50,64,60,60,0,Dpharm
516,80,69,59,62,64,0,59,Dpharm
517,82,67,59,62,64,63,0,Dpharm
518,85,66,50,64,62,0,61,Dpharm
519,87,69,57,61,65,68,0,Dpharm
520,87,61,53,63,62,0,64,Dpharm
521,87,68,53,62,63,67,0,Dpharm
522,83,66,60,65,61,68,0,Dpharm
523,86,60,55,61,63,61,0,Dpharm
524,82,70,56,64,62,0,64,Dpharm
525,85,66,50,60,62,0,61,Dpharm
526,85,62,55,65,62,64,0,Dpharm
527,88,61,52,65,60,0,63,Dpharm
528,87,64,58,64,65,63,0,Dpharm
529,81,65,50,65,64,0,61,Dpharm
530,84,64,51,62,63,66,0,Dpharm
531,88,62,59,64,60,68,0,Dpharm
532,90,69,55,65,62,0,65,Dpharm
533,80,62,54,60,62,60,0,Dpharm
534,87,67,52,65,60,60,0,Dpharm
535,87,63,58,62,64,69,0,Dpharm
536,86,69,52,60,63,0,59,Dpharm
537,84,64,51,62,61,0,64,Dpharm
538,84,66,56,60,64,0,61,Dpharm
539,81,61,58,65,60,62,0,Dpharm
540,88,67,56,61,60,0,59,Dpharm
541,88,69,53,61,60,0,64,Dpharm
542,83,68,50,61,65,66,0,Dpharm
543,85,70,59,60,62,63,0,Dpharm
544,88,65,58,64,62,0,59,Dpharm
545,90,61,55,62,61,0,59,Dpharm
546,84,63,50,63,60,0,63,Dpharm
547,85,67,52,60,61,0,61,Dpharm
548,89,60,54,60,63,63,0,Dpharm
549,90,60,56,63,63,67,0,Dpharm
550,84,66,51,63,64,60,0,Dpharm
551,87,67,60,61,60,60,0,Dpharm
552,84,60,59,62,61,68,0,Dpharm
553,82,65,54,63,64,0,64,Dpharm
554,82,64,57,61,61,63,0,Dpharm
555,87,60,57,60,61,61,0,Dpharm
556,80,63,60,65,63,68,0,Dpharm
557,83,69,54,64,65,0,62,Dpharm
558,87,69,58,65,60,0,60,Dpharm
559,87,69,50,64,62,0,64,Dpharm
560,89,68,53,60,62,67,0,Dpharm
561,81,69,60,74,67,83,0,Paramedical
562,88,68,60,70,66,75,0,Paramedical
563,89,66,60,73,71,75,0,Paramedical
564,86,66,58,65,67,81,0,Paramedical
565,80,72,55,66,74,85,0,Paramedical
566,81,69,63,71,71,81,0,Paramedical
567,84,66,63,68,70,83,0,Paramedical
568,88,70,64,67,67,79,0,Paramedical
569,87,72,55,74,69,76,0,Paramedical
570,84,72,62,66,75,77,0,Paramedical
571,85,65,64,72,68,75,0,Paramedical
572,82,74,60,70,73,81,0,Paramedical
573,83,70,56,73,70,75,0,Paramedical
574,86,72,55,74,73,79,0,Paramedical
575,90,72,61,69,68,77,0,Paramedical
576,90,72,63,71,68,77,0,Paramedical
577,80,74,59,73,73,75,0,Paramedical
578,84,74,60,70,70,80,0,Paramedical
579,86,73,61,67,65,84,0,Paramedical
580,82,73,61,67,73,82,0,Paramedical
581,80,73,63,74,73,78,0,Paramedical
582,89,70,61,73,68,76,0,Paramedical
583,82,74,61,72,73,76,0,Paramedical
584,84,65,60,74,72,75,0,Paramedical
585,81,74,64,69,68,78,0,Paramedical
586,88,67,63,72,75,83,0,Paramedical
587,86,67,62,70,73,81,0,Paramedical
588,84,71,57,72,71,80,0,Paramedical
589,83,71,62,70,72,76,0,Paramedical
590,81,74,62,67,67,77,0,Paramedical
591,86,68,55,72,71,77,0,Paramedical
592,89,74,62,67,69,77,0,Paramedical
593,90,74,57,69,69,82,0,Paramedical
594,85,73,63,67,68,85,0,Paramedical
595,88,72,55,71,69,84,0,Paramedical
596,83,71,60,72,67,81,0,Paramedical
597,90,72,62,74,65,85,0,Paramedical
598,83,68,60,65,69,80,0,Paramedical
599,85,67,61,66,65,78,0,Paramedical
600,88,69,55,67,67,76,0,Paramedical
601,90,68,55,66,71,84,0,Paramedical
602,82,73,63,67,69,78,0,Paramedical
603,83,67,58,71,69,83,0,Paramedical
604,86,73,61,71,70,83,0,Paramedical
605,90,67,62,69,67,84,0,Paramedical
606,90,65,58,65,75,75,0,Paramedical
607,86,70,55,66,66,75,0,Paramedical
608,86,66,55,71,72,80,0,Paramedical
609,83,69,55,70,66,84,0,Paramedical
610,86,73,56,68,74,76,0,Paramedical
611,80,66,64,69,67,79,0,Paramedical
612,90,74,60,66,75,77,0,Paramedical
613,90,74,56,72,68,75,0,Paramedical
614,82,65,59,71,71,76,0,Paramedical
615,90,68,56,69,69,76,0,Paramedical
616,86,74,59,73,65,81,0,Paramedical
617,87,67,60,72,66,77,0,Paramedical
618,81,71,64,65,66,82,0,Paramedical
619,85,74,59,65,74,82,0,Paramedical
620,90,66,61,65,73,80,0,Paramedical
621,84,65,58,69,67,75,0,Paramedical
622,87,66,57,74,75,77,0,Paramedical
623,81,73,56,70,73,80,0,Paramedical
624,80,66,60,74,70,77,0,Paramedical
625,87,74,59,71,66,76,0,Paramedical
626,88,72,64,68,71,84,0,Paramedical
627,87,69,58,66,68,83,0,Paramedical
628,81,65,55,65,68,83,0,Paramedical
629,90,70,61,74,68,79,0,Paramedical
630,85,68,57,65,69,82,0,Paramedical
631,82,74,63,70,67,75,0,Paramedical
632,84,72,55,72,75,77,0,Paramedical
633,82,73,55,67,66,76,0,Paramedical
634,85,73,58,74,68,82,0,Paramedical
635,84,72,63,74,69,80,0,Paramedical
636,88,69,64,73,73,85,0,Paramedical
637,81,66,56,72,74,79,0,Paramedical
638,87,69,64,72,73,81,0,Paramedical
639,84,69,59,72,71,79,0,Paramedical
640,90,66,55,67,70,76,0,Paramedical
641,86,70,56,70,73,77,0,Paramedical
642,85,68,58,72,70,80,0,Paramedical
643,88,68,57,72,71,83,0,Paramedical
644,90,72,63,74,66,83,0,Paramedical
645,84,68,55,66,74,76,0,Paramedical
