Serial,IQ,English,Accountancy,Economics,Buisness Studies,Mathematics,Computer Application,Stream
42,91,88,81,62,62,0,69,Bcom(H)
43,96,71,91,68,72,0,79,Bcom(H)
44,90,72,90,62,73,0,78,Bcom(H)
45,90,93,82,73,78,0,64,Bcom(H)
46,96,99,100,63,77,0,61,Bcom(H)
47,95,78,91,75,80,0,63,Bcom(H)
48,100,85,80,60,67,0,64,Bcom(H)
49,100,85,87,62,73,0,61,Bcom(H)
50,90,87,88,66,63,0,80,Bcom(H)
51,90,80,83,69,70,0,74,Bcom(H)
52,90,86,92,74,61,0,62,Bcom(H)
53,99,85,80,70,70,0,78,Bcom(H)
54,99,79,98,63,69,0,68,Bcom(H)
55,94,69,87,62,63,0,61,Bcom(H)
56,92,96,85,69,62,0,74,Bcom(H)
57,100,76,99,70,72,0,68,Bcom(H)
58,99,97,97,69,73,0,68,Bcom(H)
59,95,100,85,61,73,0,63,Bcom(H)
60,99,80,85,65,63,0,67,Bcom(H)
61,95,81,85,77,64,0,69,Bcom(H)
62,96,97,99,74,60,65,0,BCom(H)
63,93,65,100,61,62,0,76,BCom(H)
64,102,83,83,74,67,0,66,BCom(H)
65,104,66,100,67,74,0,74,BCom(H)
66,100,90,95,67,64,65,0,BCom(H)
67,97,96,86,76,62,72,0,BCom(H)
68,102,70,92,71,78,0,61,BCom(H)
69,94,96,100,78,60,78,0,BCom(H)
70,96,68,89,69,74,0,62,BCom(H)
71,99,75,86,68,67,80,0,BCom(H)
72,92,81,93,64,61,79,0,BCom(H)
73,96,88,84,65,62,0,78,BCom(H)
74,100,69,82,79,73,0,74,BCom(H)
75,100,98,90,61,73,0,61,BCom(H)
76,97,70,90,72,70,0,77,BCom(H)
77,94,86,97,65,75,79,0,BCom(H)
78,93,75,94,64,63,0,80,BCom(H)
79,97,80,91,60,79,70,0,BCom(H)
80,97,97,88,80,64,68,0,BCom(H)
81,92,73,89,80,80,79,0,BCom(H)
82,95,70,91,65,73,69,0,BCom(H)
83,94,80,96,65,75,0,63,BCom(H)
84,91,93,85,75,77,0,73,BCom(H)
85,97,67,86,63,66,77,0,BCom(H)
86,101,84,93,70,69,0,73,BCom(H)
87,103,100,92,68,66,0,76,BCom(H)
88,95,83,87,62,60,0,60,BCom(H)
89,91,90,89,78,80,61,0,BCom(H)
90,105,67,88,67,78,0,77,BCom(H)
91,101,83,97,64,75,72,0,BCom(H)
92,94,84,81,63,78,0,68,BCom(H)
93,90,96,84,65,63,0,74,BCom(H)
94,101,71,84,61,77,0,60,BCom(H)
95,99,97,85,79,61,74,0,BCom(H)
96,95,82,98,70,60,74,0,BCom(H)
97,102,65,87,63,74,74,0,BCom(H)
98,101,75,95,74,64,0,72,BCom(H)
99,98,92,92,65,79,0,63,BCom(H)
100,90,89,80,76,70,0,70,BCom(H)
101,100,87,99,65,69,0,74,BCom(H)
102,100,95,96,78,61,63,0,BCom(H)
103,104,94,86,61,62,80,0,BCom(H)
104,99,99,92,74,71,64,0,BCom(H)
105,105,71,83,70,79,64,0,BCom(H)
106,101,80,83,67,64,0,71,BCom(H)
107,101,90,85,78,64,0,71,BCom(H)
108,105,66,98,72,65,77,0,BCom(H)
109,104,65,91,71,68,0,75,BCom(H)
110,103,76,86,64,61,63,0,BCom(H)
111,103,69,89,65,80,0,77,BCom(H)
112,104,96,98,63,71,60,0,BCom(H)
113,103,73,86,78,62,64,0,BCom(H)
114,92,99,82,79,79,73,0,BCom(H)
115,101,83,92,60,71,76,0,BCom(H)
116,96,80,92,79,76,66,0,BCom(H)
117,93,67,97,76,69,0,80,BCom(H)
118,105,84,99,71,73,60,0,BCom(H)
119,98,88,87,74,76,0,62,BCom(H)
120,92,97,88,60,77,0,73,BCom(H)
121,94,88,86,73,78,0,73,BCom(H)
122,92,75,80,65,76,62,0,BCom(H)
123,96,72,82,64,73,0,69,BCom(H)
124,94,100,92,70,68,0,65,BCom(H)
125,98,84,96,63,67,74,0,BCom(H)
126,96,99,80,72,61,65,0,BCom(H)
127,91,89,85,70,72,71,0,BCom(H)
128,93,99,100,62,66,65,0,BCom(H)
129,98,89,85,60,68,0,70,BCom(H)
130,101,93,91,65,70,73,0,BCom(H)
131,103,82,92,77,73,0,77,BCom(H)
132,91,82,92,69,63,65,0,BCom(H)
133,99,66,94,64,72,79,0,BCom(H)
134,98,99,100,69,61,67,0,BCom(H)
135,99,80,95,71,64,0,78,BCom(H)
136,94,100,100,61,70,0,61,BCom(H)
137,91,97,90,72,65,76,0,BCom(H)
138,93,68,84,67,77,0,60,BCom(H)
139,101,97,83,61,80,71,0,BCom(H)
140,104,78,82,79,69,0,65,BCom(H)
141,101,85,98,60,63,66,0,BCom(H)
142,96,84,99,64,68,0,63,BCom(H)
143,101,72,97,68,65,0,71,BCom(H)
144,102,71,94,76,61,61,0,BCom(H)
145,97,67,88,68,76,0,65,BCom(H)
146,104,81,96,70,64,67,0,BCom(H)
147,92,97,93,74,65,60,0,BCom(H)
148,103,76,94,65,71,78,0,BCom(H)
149,90,86,80,62,80,0,78,BCom(H)
150,93,86,100,76,69,0,66,BCom(H)
151,91,94,82,64,80,0,78,BCom(H)
152,97,72,95,71,65,72,0,BCom(H)
153,93,91,90,77,67,0,71,BCom(H)
154,91,91,91,73,61,71,0,BCom(H)
155,103,98,89,80,71,74,0,BCom(H)
156,95,85,95,70,72,62,0,BCom(H)
157,95,94,87,68,80,0,68,BCom(H)
158,99,97,85,61,66,0,77,BCom(H)
159,93,92,91,71,69,0,63,BCom(H)
160,95,97,100,62,72,0,67,BCom(H)
161,102,69,87,62,76,0,61,BCom(H)
162,104,83,83,60,80,75,0,BCom(H)
163,91,68,87,67,73,78,0,BCom(H)
164,99,99,97,67,61,77,0,BCom(H)
165,101,81,84,70,70,0,66,BCom(H)
166,91,92,88,68,60,0,76,BCom(H)
167,99,94,83,64,78,77,0,BCom(H)
168,103,93,96,73,80,0,63,BCom(H)
169,93,70,88,62,63,71,0,BCom(H)
170,103,99,80,80,78,0,68,BCom(H)
171,104,88,100,64,80,60,0,BCom(H)
172,105,93,99,64,70,0,63,BCom(H)
173,104,95,92,78,67,65,0,BCom(H)
174,97,99,95,73,70,0,74,BCom(H)
175,103,97,92,63,63,0,74,BCom(H)
176,96,85,93,72,76,0,63,BCom(H)
177,101,96,82,69,66,0,74,BCom(H)
178,98,87,85,77,67,67,0,BCom(H)
179,103,97,97,67,62,0,60,BCom(H)
180,97,67,98,67,61,0,69,BCom(H)
181,94,82,84,66,74,0,71,BCom(H)
182,105,89,94,67,64,76,0,BCom(H)
183,102,95,81,73,60,79,0,BCom(H)
184,91,67,89,78,63,0,61,BCom(H)
185,104,88,97,65,74,0,75,BCom(H)
186,94,96,92,60,79,0,80,BCom(H)
187,97,86,84,74,78,77,0,BCom(H)
188,99,87,80,60,62,71,0,BCom(H)
189,98,66,80,76,79,68,0,BCom(H)
190,101,91,97,60,70,60,0,BCom(H)
191,101,66,94,74,76,0,64,BCom(H)
192,101,90,96,61,72,79,0,BCom(H)
193,102,81,90,73,70,60,0,BCom(H)
194,98,97,100,80,61,0,75,BCom(H)
195,102,73,96,67,68,0,60,BCom(H)
196,104,93,92,67,61,63,0,BCom(H)
197,102,90,80,78,80,61,0,BCom(H)
198,90,99,81,66,68,0,63,BCom(H)
199,98,89,88,78,68,0,69,BCom(H)
200,96,88,82,65,67,0,78,BCom(H)
201,98,77,80,65,76,71,0,BCom(H)
202,97,71,100,62,60,0,76,BCom(H)
203,90,100,95,66,70,71,0,BCom(H)
204,101,84,85,78,67,67,0,BCom(H)
205,97,65,96,67,69,71,0,BCom(H)
206,97,72,84,69,66,0,69,BCom(H)
207,104,80,84,79,62,62,0,BCom(H)
208,100,78,85,74,62,0,72,BCom(H)
209,92,76,82,74,77,0,70,BCom(H)
210,90,87,100,60,64,75,0,BCom(H)
211,97,79,84,79,71,0,72,BCom(H)
212,92,92,100,66,71,68,0,BCom(H)
213,92,98,84,63,78,80,0,BCom(H)
214,90,66,89,65,65,73,0,BCom(H)
215,100,96,89,60,61,79,0,BCom(H)
216,94,87,98,64,71,0,71,BCom(H)
217,99,86,96,60,78,0,63,BCom(H)
218,96,89,100,63,64,0,60,BCom(H)
219,99,86,93,61,71,0,62,BCom(H)
220,98,86,88,69,76,0,65,BCom(H)
221,101,70,93,64,76,0,72,BCom(H)
222,96,79,80,69,69,70,0,BCom(H)
223,98,97,98,60,76,70,0,BCom(H)
224,97,72,92,65,74,0,72,BCom(H)
225,101,69,92,72,71,0,75,BCom(H)
226,91,68,83,74,75,64,0,BCom(H)
227,90,70,80,63,78,0,80,BCom(H)
228,105,96,96,72,67,0,70,BCom(H)
229,96,94,87,79,80,0,70,BCom(H)
230,96,99,81,74,76,0,70,BCom(H)
231,103,80,87,67,64,0,67,BCom(H)
232,97,77,86,64,75,76,0,BCom(H)
233,94,94,81,74,65,62,0,BCom(H)
234,92,83,82,63,67,69,0,BCom(H)
235,101,81,97,71,77,72,0,BCom(H)
236,97,83,91,72,71,0,68,BCom(H)
237,95,92,80,61,74,0,61,BCom(H)
238,100,90,91,78,68,78,0,BCom(H)
239,92,90,84,78,72,68,0,BCom(H)
240,90,87,96,63,74,63,0,BCom(H)
241,92,73,95,63,69,0,75,BCom(H)
242,94,76,94,70,75,0,64,BCom(H)
243,104,65,94,64,66,76,0,BCom(H)
244,103,65,84,79,76,80,0,BCom(H)
245,92,98,100,70,80,77,0,BCom(H)
246,90,96,93,69,66,0,67,BCom(H)
247,94,89,81,67,73,0,74,BCom(H)
248,99,65,90,65,74,79,0,BCom(H)
249,96,80,98,65,80,0,65,BCom(H)
250,104,69,86,67,66,64,0,BCom(H)
251,103,86,85,74,68,61,0,BCom(H)
252,96,93,81,73,78,0,64,BCom(H)
253,100,67,85,70,75,0,72,BCom(H)
254,98,76,97,71,67,66,0,BCom(H)
255,104,90,81,72,77,0,74,BCom(H)
256,104,80,97,67,77,0,69,BCom(H)
257,99,86,94,77,79,80,0,BCom(H)
258,99,93,98,60,66,0,73,BCom(H)
259,101,78,81,74,62,69,0,BCom(H)
260,102,92,99,67,77,0,65,BCom(H)
261,92,69,85,70,69,79,0,BCom(H)
262,104,94,80,71,66,78,0,BCom(H)
263,105,69,94,71,76,69,0,BCom(H)
264,96,76,89,63,73,74,0,BCom(H)
265,90,80,98,75,62,61,0,BCom(H)
266,93,90,96,63,71,73,0,BCom(H)
267,102,90,84,64,72,0,76,BCom(H)
268,105,85,83,64,61,70,0,BCom(H)
269,93,100,89,67,62,77,0,BCom(H)
270,103,97,96,69,64,64,0,BCom(H)
271,94,94,89,76,70,64,0,BCom(H)
272,96,87,96,68,67,69,0,BCom(H)
273,96,74,99,78,71,0,80,BCom(H)
274,102,69,84,73,66,62,0,BCom(H)
275,104,100,81,67,74,73,0,BCom(H)
276,100,98,85,68,76,64,0,BCom(H)
277,102,95,100,70,63,0,76,BCom(H)
278,93,74,81,60,72,69,0,BCom(H)
279,102,83,92,73,77,0,77,BCom(H)
280,105,96,90,64,60,0,68,BCom(H)
281,96,65,90,80,75,60,0,BCom(H)
282,100,69,95,73,72,69,0,BCom(H)
283,92,68,90,63,69,71,0,BCom(H)
284,95,80,98,60,71,71,0,BCom(H)
285,101,88,94,78,61,0,70,BCom(H)
286,91,80,95,67,62,64,0,BCom(H)
287,99,66,90,74,69,0,75,BCom(H)
288,102,92,95,80,61,0,66,BCom(H)
289,103,96,87,74,72,77,0,BCom(H)
290,98,91,83,68,72,61,0,BCom(H)
291,94,84,87,80,77,0,67,BCom(H)
292,95,88,83,68,62,0,68,BCom(H)
293,101,76,82,69,66,78,0,BCom(H)
294,101,99,82,79,73,77,0,BCom(H)
295,101,97,97,80,79,66,0,BCom(H)
296,101,97,98,68,76,0,67,BCom(H)
297,93,76,98,62,80,74,0,BCom(H)
298,103,67,100,79,71,0,70,BCom(H)
299,103,65,84,70,75,65,0,BCom(H)
300,100,97,97,65,71,0,73,BCom(H)
301,105,74,89,61,74,0,70,BCom(H)
302,99,93,100,66,69,71,0,BCom(H)
303,96,77,85,77,66,0,60,BCom(H)
304,101,76,80,61,79,76,0,BCom(H)
305,98,95,84,76,64,0,62,BCom(H)
306,96,66,88,70,60,0,61,BCom(H)
307,103,99,91,71,76,0,67,BCom(H)
308,90,87,93,78,62,79,0,BCom(H)
309,90,81,81,66,72,0,80,BCom(H)
310,98,90,96,79,73,0,73,BCom(H)
311,100,72,93,65,77,0,66,BCom(H)
312,103,93,92,80,63,0,73,BCom(H)
313,98,90,88,60,77,64,0,BCom(H)
314,93,74,94,76,64,71,0,BCom(H)
315,102,90,94,70,75,0,65,BCom(H)
316,98,98,90,77,60,69,0,BCom(H)
317,92,71,95,80,80,67,0,BCom(H)
318,96,68,96,76,73,61,0,BCom(H)
319,95,75,83,66,74,78,0,BCom(H)
320,97,93,80,76,68,68,0,BCom(H)
321,100,100,87,79,74,0,71,BCom(H)
322,98,89,96,68,76,0,79,BCom(H)
323,103,85,82,76,63,0,75,BCom(H)
324,94,100,99,79,71,75,0,BCom(H)
325,90,74,94,67,64,64,0,BCom(H)
326,92,73,94,76,64,80,0,BCom(H)
327,99,88,93,66,70,73,0,BCom(H)
328,101,99,93,60,65,0,72,BCom(H)
329,97,99,81,72,66,70,0,BCom(H)
330,104,100,92,78,73,0,69,BCom(H)
331,100,82,93,78,70,0,67,BCom(H)
332,95,96,98,76,72,0,61,BCom(H)
333,105,88,86,72,61,63,0,BCom(H)
334,105,87,82,75,66,0,80,BCom(H)
335,97,96,94,67,79,71,0,BCom(H)
336,98,76,93,78,63,74,0,BCom(H)
337,93,77,90,77,67,77,0,BCom(H)
338,90,87,94,60,79,0,80,BCom(H)
339,103,89,92,73,80,61,0,BCom(H)
340,90,99,97,78,78,66,0,BCom(H)
341,99,94,85,74,72,0,78,BCom(H)
342,93,81,82,77,73,64,0,BCom(H)
343,101,84,98,61,69,0,75,BCom(H)
344,103,89,94,76,70,0,80,BCom(H)
345,96,86,84,77,61,0,68,BCom(H)
346,91,77,89,65,68,74,0,BCom(H)
347,92,83,86,78,76,0,64,BCom(H)
348,90,100,96,63,62,62,0,BCom(H)
349,94,76,86,60,65,64,0,BCom(H)
350,90,83,91,67,64,0,74,BCom(H)
351,97,76,96,66,64,0,60,BCom(H)
352,90,73,92,62,74,0,72,BCom(H)
353,100,71,99,69,76,0,74,BCom(H)
354,90,92,83,69,68,0,65,BCom(H)
355,91,78,89,78,62,0,80,BCom(H)
356,91,95,82,73,79,0,61,BCom(H)
357,101,83,88,61,76,0,73,BCom(H)
358,95,80,92,60,69,62,0,BCom(H)
359,96,69,97,77,62,0,80,BCom(H)
360,94,99,94,66,77,0,75,BCom(H)
361,105,76,83,67,77,63,0,BCom(H)
362,101,99,99,91,94,99,0,Bcom(H)+CA
363,107,90,100,93,93,87,0,Bcom(H)+CA
364,109,97,96,96,93,95,0,Bcom(H)+CA
365,101,100,91,90,93,91,0,Bcom(H)+CA
366,100,99,100,92,91,96,0,Bcom(H)+CA
367,107,96,98,95,90,90,0,Bcom(H)+CA
368,103,91,90,96,95,95,0,Bcom(H)+CA
369,108,96,94,92,93,91,0,Bcom(H)+CA
370,106,99,94,97,92,88,0,Bcom(H)+CA
371,102,99,93,99,100,88,0,Bcom(H)+CA
372,108,99,97,92,95,94,0,Bcom(H)+CA
373,108,97,97,98,90,100,0,Bcom(H)+CA
374,98,94,92,93,99,100,0,Bcom(H)+CA
375,104,99,98,90,93,90,0,Bcom(H)+CA
376,102,90,94,93,97,95,0,Bcom(H)+CA
377,104,94,98,93,91,87,0,Bcom(H)+CA
378,103,95,97,92,94,92,0,Bcom(H)+CA
379,108,99,95,90,91,91,0,Bcom(H)+CA
380,108,93,90,92,90,89,0,Bcom(H)+CA
381,98,96,98,90,99,96,0,Bcom(H)+CA
382,98,100,90,97,100,100,0,Bcom(H)+CA
383,107,94,94,96,99,87,0,Bcom(H)+CA
384,103,94,94,100,95,97,0,Bcom(H)+CA
385,103,92,91,99,99,87,0,Bcom(H)+CA
386,110,96,93,94,94,95,0,Bcom(H)+CA
387,106,93,93,90,98,94,0,Bcom(H)+CA
388,108,96,98,97,97,97,0,Bcom(H)+CA
389,108,93,98,97,95,95,0,Bcom(H)+CA
390,107,97,94,100,94,97,0,Bcom(H)+CA
391,103,99,94,96,98,100,0,Bcom(H)+CA
392,107,92,98,91,100,0,91,Bcom(H)+CA
393,103,100,99,98,96,0,99,Bcom(H)+CA
394,104,92,93,100,92,0,96,Bcom(H)+CA
395,98,97,100,98,91,0,88,Bcom(H)+CA
396,99,99,99,98,98,0,87,Bcom(H)+CA
397,110,98,99,90,97,0,90,Bcom(H)+CA
398,105,91,91,100,90,0,90,Bcom(H)+CA
399,106,98,90,93,95,0,88,Bcom(H)+CA
400,100,94,95,95,95,0,93,Bcom(H)+CA
401,101,91,91,99,95,0,100,Bcom(H)+CA
402,110,92,98,91,98,0,93,Bcom(H)+CA
403,110,94,92,96,98,0,95,Bcom(H)+CA
404,105,95,98,97,96,0,94,Bcom(H)+CA
405,98,91,99,97,92,0,95,Bcom(H)+CA
406,100,95,90,93,99,0,93,Bcom(H)+CA
407,103,94,91,100,99,0,95,Bcom(H)+CA
408,106,90,97,92,96,0,95,Bcom(H)+CA
409,103,97,98,100,92,0,96,Bcom(H)+CA
410,107,96,93,100,96,0,92,Bcom(H)+CA
411,104,96,94,92,97,0,97,Bcom(H)+CA
412,109,99,91,98,90,0,87,Bcom(H)+CA
413,98,95,93,95,97,0,90,Bcom(H)+CA
414,109,91,98,99,94,0,89,Bcom(H)+CA
415,107,98,94,96,92,0,98,Bcom(H)+CA
416,101,96,94,95,98,0,87,Bcom(H)+CA
417,100,90,95,96,90,0,88,Bcom(H)+CA
418,109,94,90,92,96,0,93,Bcom(H)+CA
419,99,98,91,91,96,0,93,Bcom(H)+CA
420,99,93,97,99,90,0,87,Bcom(H)+CA
421,102,95,100,98,92,0,90,Bcom(H)+CA
422,98,93,90,97,95,0,91,Bcom(H)+CA
423,106,90,93,96,90,0,99,Bcom(H)+CA
424,105,92,95,90,97,0,93,Bcom(H)+CA
425,98,93,96,90,100,0,100,Bcom(H)+CA
426,109,90,98,93,94,0,100,Bcom(H)+CA
427,100,97,95,92,100,0,90,Bcom(H)+CA
428,101,91,90,98,93,0,98,Bcom(H)+CA
429,100,92,94,98,92,0,94,Bcom(H)+CA
430,102,95,94,92,98,0,95,Bcom(H)+CA
431,100,97,93,93,97,0,93,Bcom(H)+CA
432,102,92,93,90,90,0,94,Bcom(H)+CA
433,108,100,95,99,90,0,98,Bcom(H)+CA
434,103,95,95,90,90,0,96,Bcom(H)+CA
435,110,95,94,96,93,0,93,Bcom(H)+CA
436,103,98,100,96,95,0,97,Bcom(H)+CA
437,101,92,98,100,97,0,95,Bcom(H)+CA
438,108,93,91,94,90,0,97,Bcom(H)+CA
439,108,100,91,98,92,0,97,Bcom(H)+CA
440,109,97,93,92,99,0,99,Bcom(H)+CA
441,109,100,97,91,93,0,96,Bcom(H)+CA
442,98,96,92,99,90,0,98,Bcom(H)+CA
443,104,91,92,99,91,0,98,Bcom(H)+CA
444,101,98,100,100,99,0,98,Bcom(H)+CA
445,101,99,100,97,91,0,94,Bcom(H)+CA
446,101,91,97,91,97,0,92,Bcom(H)+CA
447,108,93,94,92,90,0,95,Bcom(H)+CA
448,108,98,97,96,96,0,94,Bcom(H)+CA
449,100,91,93,95,93,0,92,Bcom(H)+CA
450,103,100,90,91,95,0,92,Bcom(H)+CA
451,107,91,99,91,94,0,98,Bcom(H)+CA
452,99,90,100,96,100,0,96,Bcom(H)+CA
453,106,98,90,94,94,0,99,Bcom(H)+CA
454,103,90,96,100,100,0,95,Bcom(H)+CA
455,110,90,100,98,93,0,93,Bcom(H)+CA
456,107,97,99,95,97,0,99,Bcom(H)+CA
457,101,98,100,94,95,0,95,Bcom(H)+CA
458,108,99,98,91,96,0,90,Bcom(H)+CA
459,108,92,97,97,90,0,91,Bcom(H)+CA
460,100,98,95,98,91,0,95,Bcom(H)+CA
461,104,94,96,99,94,0,91,Bcom(H)+CA
462,108,98,90,92,93,0,98,Bcom(H)+CA
463,101,91,95,97,96,0,91,Bcom(H)+CA
464,101,98,90,94,90,0,95,Bcom(H)+CA
465,100,97,90,91,98,0,96,Bcom(H)+CA
466,98,94,99,91,91,0,90,Bcom(H)+CA
467,104,95,90,94,100,0,98,Bcom(H)+CA
468,98,91,96,90,92,0,90,Bcom(H)+CA
469,105,94,97,93,94,0,91,Bcom(H)+CA
470,103,96,90,95,94,0,90,Bcom(H)+CA
471,100,98,100,95,100,0,100,Bcom(H)+CA
472,102,96,94,99,100,0,94,Bcom(H)+CA
473,98,95,95,99,100,0,93,Bcom(H)+CA
474,99,97,100,94,98,0,92,Bcom(H)+CA
475,104,97,90,93,91,0,99,Bcom(H)+CA
476,99,100,91,100,93,0,96,Bcom(H)+CA
477,107,98,99,98,95,0,100,Bcom(H)+CA
478,101,90,93,91,96,0,100,Bcom(H)+CA
479,109,96,99,95,92,0,99,Bcom(H)+CA
480,100,97,100,96,98,0,98,Bcom(H)+CA
481,106,100,93,99,98,0,94,Bcom(H)+CA
482,104,98,90,95,97,0,93,Bcom(H)+CA
483,109,96,97,92,98,0,90,Bcom(H)+CA
484,106,90,98,100,99,0,98,Bcom(H)+CA
485,109,92,91,95,100,0,95,Bcom(H)+CA
486,104,98,92,96,94,0,99,Bcom(H)+CA
487,100,95,91,96,90,0,95,Bcom(H)+CA
488,100,97,96,100,100,0,90,Bcom(H)+CA
489,109,92,97,94,94,0,90,Bcom(H)+CA
490,100,98,90,99,95,0,98,Bcom(H)+CA
491,107,90,95,96,94,0,99,Bcom(H)+CA
492,104,100,98,99,98,0,93,Bcom(H)+CA
493,101,98,96,93,97,0,91,Bcom(H)+CA
494,103,97,100,99,91,0,90,Bcom(H)+CA
495,108,92,95,100,95,0,96,Bcom(H)+CA
496,103,98,100,95,97,0,99,Bcom(H)+CA
497,109,93,100,97,96,0,92,Bcom(H)+CA
498,110,99,91,99,95,0,92,Bcom(H)+CA
499,101,100,98,96,91,0,94,Bcom(H)+CA
500,104,99,96,100,93,0,98,Bcom(H)+CA
501,104,94,99,100,100,0,95,Bcom(H)+CA
502,105,99,92,91,97,0,95,Bcom(H)+CA
503,98,94,93,94,93,0,96,Bcom(H)+CA
504,102,99,94,98,94,0,95,Bcom(H)+CA
505,105,100,100,100,94,0,95,Bcom(H)+CA
506,109,94,100,99,92,0,90,Bcom(H)+CA
507,101,98,99,90,92,0,94,Bcom(H)+CA
508,106,100,90,98,92,0,96,Bcom(H)+CA
509,107,99,91,100,93,0,90,Bcom(H)+CA
510,110,92,97,91,92,0,98,Bcom(H)+CA
511,100,95,90,97,94,0,91,Bcom(H)+CA
512,106,94,100,95,95,0,90,Bcom(H)+CA
513,102,92,92,96,92,0,96,Bcom(H)+CA
514,103,92,100,100,99,0,97,Bcom(H)+CA
515,98,90,93,93,94,0,96,Bcom(H)+CA
516,107,97,92,93,96,0,96,Bcom(H)+CA
517,98,90,92,92,99,0,97,Bcom(H)+CA
518,102,91,98,92,92,0,93,Bcom(H)+CA
519,104,91,90,100,99,0,90,Bcom(H)+CA
520,106,95,96,92,100,0,97,Bcom(H)+CA
521,104,92,94,92,96,0,92,Bcom(H)+CA
522,108,95,96,95,97,0,90,Bcom(H)+CA
523,99,98,92,99,96,0,92,Bcom(H)+CA
524,101,93,90,99,93,0,99,Bcom(H)+CA
525,101,92,95,90,96,0,98,Bcom(H)+CA
526,102,90,93,91,94,0,91,Bcom(H)+CA
527,98,94,98,98,95,0,98,Bcom(H)+CA
528,103,98,93,98,91,0,96,Bcom(H)+CA
529,102,95,93,99,90,0,98,Bcom(H)+CA
530,105,92,94,91,94,0,97,Bcom(H)+CA
531,105,93,90,92,91,0,100,Bcom(H)+CA
532,101,90,95,100,99,0,96,Bcom(H)+CA
533,103,91,99,100,95,0,100,Bcom(H)+CA
534,104,91,95,97,100,0,98,Bcom(H)+CA
535,108,92,95,94,90,0,97,Bcom(H)+CA
536,98,100,95,98,90,0,94,Bcom(H)+CA
537,106,99,92,91,91,0,95,Bcom(H)+CA
538,99,98,91,97,93,0,100,Bcom(H)+CA
539,101,100,100,94,96,0,98,Bcom(H)+CA
540,103,93,98,99,93,0,95,Bcom(H)+CA
541,108,94,98,100,100,0,96,Bcom(H)+CA
542,102,90,90,94,100,0,96,Bcom(H)+CA
543,104,95,94,91,90,0,98,Bcom(H)+CA
544,105,95,90,100,97,0,92,Bcom(H)+CA
545,107,93,93,97,96,0,91,Bcom(H)+CA
546,103,97,91,92,99,0,98,Bcom(H)+CA
547,105,94,90,91,94,0,95,Bcom(H)+CA
548,108,94,95,94,90,0,96,Bcom(H)+CA
549,103,97,93,97,90,0,95,Bcom(H)+CA
550,110,97,100,93,91,0,97,Bcom(H)+CA
551,103,98,97,91,98,0,95,Bcom(H)+CA
552,103,97,93,94,91,0,97,Bcom(H)+CA
553,98,93,90,100,97,0,95,Bcom(H)+CA
554,104,92,97,93,91,0,90,Bcom(H)+CA
555,104,91,94,100,100,0,96,Bcom(H)+CA
556,103,93,94,94,91,0,90,Bcom(H)+CA
557,106,97,96,100,97,0,96,Bcom(H)+CA
558,105,99,94,100,90,0,90,Bcom(H)+CA
559,110,94,98,99,97,0,100,Bcom(H)+CA
560,103,90,99,90,90,0,92,Bcom(H)+CA
561,103,100,98,94,93,0,92,Bcom(H)+CA
562,108,99,100,98,99,0,90,Bcom(H)+CA
563,104,94,93,95,96,0,91,Bcom(H)+CA
564,101,96,93,96,93,0,90,Bcom(H)+CA
565,104,90,93,93,96,0,98,Bcom(H)+CA
566,104,94,92,97,96,0,91,Bcom(H)+CA
567,103,97,91,95,91,0,92,Bcom(H)+CA
